,total_route,single_distance,single_cargo_weight,single_cargo_volume,total_travel_time
1250,903,0.030017098,35,21,14.00050028
1251,906,0.007135703,14,7,28.00011893
1252,908,0.000621592,34,20,34.00001036
1253,910,0.000812255,42.5,25.5,40.00001354
1254,912,0.001891205,47,27,10.00003152
1255,909,0.00103161,10,5,26.00001719
1256,913,0.000310795,27.5,14.5,42.00000518
1257,907,0.008116581,47.5,26.5,26.00013528
1258,905,0.001410713,30,17,52.00002351
1259,904,0.007135703,60,34,28.00011893
1260,911,0.003596028,33,19,28.00005993
1261,915,0.006807681,30.5,16.5,54.00011346
1262,918,0.003237687,63.5,36.5,36.00005396
1263,920,0.000448551,44,26,54.00000748
1264,923,0.011859151,64,37,16.00019765
1265,925,0,18.5,10.5,8
1266,927,0,10,6,4
1267,929,0,5,3,12
1268,931,0,12.5,6.5,10
1269,933,0,12,7,26
1270,935,0,30.5,17.5,22
1271,934,5.81E-05,26.5,15.5,18.00000097
1272,936,5.81E-05,20,11,10.00000097
1273,939,0.003407859,12,7,46.0000568
1274,943,0.024381757,54.5,31.5,26.00040636
1275,942,0.004582591,32,19,36.00007638
1276,944,0.022797622,44,26,48.00037996
1277,948,0.004546871,58,34,10.00007578
1278,964,0.003137595,11,6,18.00005229
1279,966,0,19.5,10.5,34
1280,963,0.000515055,40,23,48.00000858
1281,949,0.003137595,55,31,40.00005229
1282,951,0.000558999,46.5,26.5,48.00000932
1283,953,0,57,33,52
1284,965,0.003215801,61.5,35.5,14.0000536
1285,954,0.003215801,14,7,6.000053597
1286,952,0.000501775,6,3,36.00000836
1287,955,0.000501775,43.5,25.5,24.00000836
1288,957,0,27.5,15.5,6
1289,959,0,7.5,4.5,48
1290,969,0.008725682,55.5,31.5,34.00014543
1291,967,0.003534018,41,24,18.0000589
1292,962,0.001030109,19,10,38.00001717
1293,968,0.001030109,43.5,24.5,16.00001717
1294,947,0.007995995,17.5,9.5,18.00013327
1295,945,0.004546871,21.5,12.5,10.00007578
1296,956,0.004881124,11.5,6.5,20.00008135
1297,958,0.000160784,23.5,13.5,16.00000268
1298,961,0.000935741,17.5,9.5,40.0000156
1299,970,0.003991105,47.5,27.5,24.00006652
1300,950,0.007262312,26,14,24.00012104
1301,971,0.007208557,30,18,54.00012014
1302,978,0.000846811,64,37,14.00001411
1303,973,0.001642107,14,7,30.00002737
1304,975,0,36.5,21.5,20
1305,979,0.001693004,23.5,13.5,22.00002822
1306,977,0.000250887,22.5,11.5,38.00000418
1307,981,0.000282494,43,24,4.000004708
1308,972,0.001328815,4,2,24.00002215
1309,976,0.000257511,25,13,18.00000429
1310,980,0.000250887,22,13,16.00000418
1311,982,0.000206664,16.5,8.5,48.00000344
1312,984,0,56.5,32.5,26
1313,986,0,29.5,16.5,42
1314,974,0.004678702,48.5,27.5,36.00007798
1315,987,0.004678702,45,27,16.00007798
1316,985,0.000531152,19.5,11.5,54.00000885
1317,988,0.000531152,63,36,14.00000885
1318,983,0.002156896,15.5,8.5,14.00003595
1319,989,0.002156896,16.5,9.5,22.00003595
1320,996,0.001571786,23,12,34.0000262
1321,994,0.00093574,41,24,44.0000156
1322,993,0.000847481,50.5,28.5,44.00001412
1323,997,0.00093574,54,32,18.0000156
1324,1002,0.001168115,22,13,24.00001947
1325,1000,0.002250963,29,17,44.00003752
1326,998,0.001168115,51,29,32.00001947
1327,992,0.00109714,40,24,54.00001829
1328,995,0.000847481,63,36,34.00001412
1329,991,0.000825288,41,24,24.00001375
1330,999,0.00109714,28.5,16.5,20.00001829
1331,1003,0.002250963,23.5,13.5,42.00003752
1332,1005,0.000906445,52,31,30.00001511
1333,1014,0.005928432,35.5,20.5,44.00009881
1334,1006,0.050619488,52,30,32.00084366
1335,1012,0.00308832,35,19,14.00005147
1336,1009,0.001974283,17,10,40.0000329
1337,899,0.076668221,47.5,27.5,22.0012778
1338,917,0.054560168,26.5,15.5,58.00090934
1339,916,0.003237687,68,39,58.00005396
1340,919,0.010088692,68,39,36.00016814
1341,900,0.063798501,40,22,60.00106331
1342,902,0.002348513,70,40,28.00003914
1343,898,0.094384191,32,18,54.00157307
1344,914,0.055647004,63,36,16.00092745
1345,861,0.091136331,20,12,52.00151894
1346,863,0.005702968,60,34,22.00009505
1347,865,0.005969539,27,16,42.00009949
1348,868,0.014849364,48,27,22.00024749
1349,870,0.000463342,24.5,13.5,18.00000772
1350,872,0.000353225,20,11,44.00000589
1351,875,0.000353225,51.5,29.5,32.00000589
1352,877,0.000786982,38,22,46.00001312
1353,874,0.000825347,55,32,40.00001376
1354,873,0.000353225,47,27,20.00000589
1355,878,0.000825347,21,11,40.00001376
1356,871,0.001456038,46,26,22.00002427
1357,876,0.000955363,22.5,11.5,18.00001592
1358,879,0.00103338,22,13,26.00001722
1359,886,0.002060169,29,16,52.00003434
1360,889,0.002141243,61,35,16.00003569
1361,883,0.002490056,18,10,24.0000415
1362,891,0.003109687,29.5,17.5,34.00005183
1363,885,0.003922471,40.5,23.5,38.00006537
1364,880,0.002060169,45,26,46.00003434
1365,897,0.006939445,53,30,38.00011566
1366,860,0.060009032,42.5,23.5,42.00100015
1367,859,0.00233899,48.5,27.5,26.00003898
1368,858,0.005103236,30.5,17.5,24.00008505
1369,857,0.005039519,26,14,20.00008399
1370,854,0.00225008,21,11,56.0000375
1371,856,0.001257104,65.5,37.5,34.00002095
1372,855,0.011689887,38,21,30.00019483
1373,852,0.008676368,32.5,17.5,22.00014461
1374,839,0.26235604,26,15,16.0043726
1375,841,0.018706814,17,9,46.00031178
1376,843,0.010057064,55.5,32.5,26.00016762
1377,851,0.005147569,32.5,19.5,12.00008579
1378,1010,0.146630062,13,7,24.00244383
1379,1013,0.004367978,29,17,18.0000728
1380,1007,0.007312838,19,10,12.00012188
1381,1004,0.003155548,14,8,8.000052592
1382,1008,0.002249495,8.5,4.5,32.00003749
1383,1011,0.005178937,35.5,19.5,20.00008632
1384,1001,0.006702002,21,11,36.0001117
1385,990,0.006339141,43,25,38.00010565
1386,946,0.044144301,45,26,44.00073574
1387,960,0.012273995,53,31,44.00020457
1388,940,0.080807781,50,28,28.0013468
1389,926,0.022570642,30,16,26.00037618
1390,928,0.001125514,31.5,18.5,6.000018759
1391,930,0.000919387,6,3,36.00001532
1392,932,0.005897907,40.5,22.5,34.0000983
1393,941,0.028835294,41.5,24.5,30.00048059
1394,867,0.104136175,37,22,34.0017356
1395,866,0.014849364,40,23,48.00024749
1396,869,0.01728894,55.5,31.5,24.00028815
1397,881,0.015904219,29,17,14.00026507
1398,890,0.003790608,17,10,28.00006318
1399,896,0.006004891,33,19,46.00010008
1400,850,0.103599976,52.5,29.5,44.00172667
1401,848,0.003615117,50.5,28.5,24.00006025
1402,847,0.001752374,29,17,60.00002921
1403,849,0.002226929,70,40,40.00003712
1404,844,0.007665975,47.5,27.5,12.00012777
1405,846,0.000891449,14,8,24.00001486
1406,845,0.002263715,28.5,16.5,40.00003773
1407,842,0.017356769,46,26,38.00028928
1408,840,0.046624476,44,25,12.00077707
1409,820,0.092031771,13.5,7.5,34.00153386
1410,827,0.014692037,42,25,32.00024487
1411,834,0.001462875,35,19,16.00002438
1412,821,0.005897803,18,10,36.0000983
1413,824,0.00093574,43.5,25.5,22.0000156
1414,823,0.000333585,26,15,36.00000556
1415,825,0.000333585,45,27,32.00000556
1416,836,0.046696075,37,21,12.00077827
1417,808,0.059699786,13,7,12.000995
1418,784,0.008795763,13.5,7.5,38.0001466
1419,786,0.001007463,47,28,26.00001679
1420,785,0.00056488,32,19,8.000009415
1421,794,0.004444948,8,4,18.00007408
1422,792,0.006162135,22,13,24.0001027
1423,780,0.007062462,25,13,60.00011771
1424,778,0.003954163,70,40,58.0000659
1425,774,0.010722859,68,39,32.00017871
1426,770,0.137054961,36,20,46.00228425
1427,822,0.136128663,53.5,30.5,14.00226881
1428,830,0.003066075,15.5,8.5,46.0000511
1429,832,0,52.5,29.5,4
1430,828,0.001462875,5,3,34.00002438
1431,831,0.003250169,41,24,46.00005417
1432,829,0.003250169,56,33,20.00005417
1433,833,0.009580377,21,11,30.00015967
1434,921,0.197686707,34,19,34.00329478
1435,924,0.001253521,40.5,23.5,22.00002089
1436,922,0.001253521,25.5,14.5,42.00002089
1437,1015,0.058824387,51,30,6.000980406
1438,1017,0.000877975,7.5,4.5,12.00001463
1439,1021,0.009677069,13,7,38.00016128
1440,1020,0.002624834,46,27,14.00004375
1441,1039,0.008946185,15,8,36.0001491
1442,1019,0.01042065,44.5,26.5,42.00017368
1443,1022,0.002624834,49.5,28.5,36.00004375
1444,1025,0,44.5,26.5,44
1445,1041,0.230852905,52.5,30.5,26.00384755
1446,1030,0.014193225,31.5,18.5,28.00023655
1447,1029,0.00116666,33,19,16.00001944
1448,1036,0.004798216,18.5,10.5,22.00007997
1449,1035,0,23,12,16
1450,1034,0,18.5,10.5,46
1451,1033,0,56,33,30
1452,1028,0.002949796,37.5,22.5,20.00004916
1453,1027,0,21,11,54
