"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"316",445,0.0088291705441749,45,27,34.0001471528424
"317",453,0.0228752536617316,39.5,22.5,32.0003812542277
"318",460,0.482402343068085,35.5,19.5,58.0080400390511
"319",465,0.0150157202951853,68,39,24.0002502620049
"320",463,0.0550873944657817,25.5,13.5,36.0009181232411
"321",462,0,37.5,19.5,42
"322",466,0.0550873944657817,52,31,38.0009181232411
"323",468,0,44,25,40
"324",470,0.00792579234618023,43,23,42.0001320965391
"325",472,0,52,31,40
"326",474,0,50,30,70
"327",476,0,81,46,70
"328",478,0,81,46,74
"329",469,0.0107250527559707,86.5,49.5,28.0001787508793
"330",479,0.00779412259355336,32,18,56.0001299020432
"331",481,0.0339725770047723,65.5,37.5,48.0005662096167
"332",483,0.03207226949441,57.5,33.5,34.0005345378249
"333",485,0.000782678869532252,37.5,20.5,68.0000130446478
"334",487,0.000973974245844932,81,47,46.0000162329041
"335",489,0.000259245403618667,57.5,34.5,38.0000043207567
"336",488,0.001166117420602,42,23,22.0000194352903
"337",490,0.00100758136552129,24,13,56.0000167930228
"338",493,0.00349640924196603,65.5,37.5,26.0000582734874
"339",492,0.00396254410487697,26.5,13.5,24.0000660424017
"340",491,0.00349640924196603,25.5,13.5,24.0000582734874
"341",494,0.00396254410487697,25.5,13.5,50.0000660424017
"342",497,0.0174638931428112,60,35,54.0002910648857
"343",496,0.00218636421558117,62,35,60.0000364394036
"344",498,0.00964922270448845,75,45,34.0001608203784
"345",482,0.0903876961747936,39,22,12.0015064616029
"346",484,0.00272020056208825,14,8,40.000045336676
"347",486,0.000887631550506326,45.5,25.5,44.0000147938592
"348",501,0.0287596218924247,49.5,27.5,26.0004793270315
"349",511,0.00592789528952183,26,13,42.0000987982548
"350",516,0.00203423476635954,46,25,48.0000339039128
"351",514,0.00119237099928066,58,34,40.00001987285
"352",507,0.00307855141213986,45,25,74.0000513091902
"353",510,0.00247487761531249,89,52,24.0000412479603
"354",512,0.00100075433809943,25.5,13.5,38.000016679239
"355",520,0.002906772332362,45,26,44.0000484462055
"356",519,0.000526693134688312,49,27,38.0000087782189
"357",521,0.000526693134688312,42,23,78.0000087782189
"358",523,0.00206811964213271,91.5,52.5,44.0000344686607
"359",526,0.0100750730657082,50.5,28.5,22.0001679178844
"360",529,0.00067800888571916,22.5,11.5,86.0000113001481
"361",531,0.000516180642577144,101,58,44.0000086030107
"362",530,0.000972054821302488,48.5,26.5,42.0000162009137
"363",532,0.00100750723256004,47.5,26.5,66.0000167917872
"364",535,0.00632452281383958,77,44,28.0001054087136
"365",537,0.00615471830599942,33.5,19.5,56.0001025786384
"366",539,0.000849262111615237,64.5,36.5,62.0000141543685
"367",542,0.0141685587082313,75,44,40.0002361426451
"368",544,0.00947767544682177,50,30,18.0001579612574
"369",546,0.00748888346086498,18,9,4.00012481472435
"370",541,0.0203302688642587,4.5,2.5,78.0003388378144
"371",540,0.0141685587082313,92,53,6.00023614264514
"372",547,0.0203302688642587,6,3,46.0003388378144
"373",543,0.0140788492764775,52,29,40.0002346474879
