"","total_route","single_distance","single_cargo_weight","single_cargo_volume","total_travel_time"
"1571",1961,0.00227275959238566,25,13,46.0000378793265
"1572",1963,0.00060242635189261,56,33,1.00404391982102e-05
"1573",1881,0.0767775625766082,0,0,24.0012796260429
"1574",1886,0,29.5,17.5,34
"1575",1885,0,37.5,20.5,22
"1576",1884,0,27,16,30
"1577",1883,0,35,20,54
"1578",1882,0,63,36,24
"1579",1922,0.0329389497863589,29,17,44.0005489824964
"1580",1924,0,51.5,29.5,22
"1581",1923,0.00158004822699938,25.5,14.5,34.0000263341371
"1582",1921,0.00261020391133637,42,25,22.0000435033985
"1583",2087,0.0724552262500734,27.5,16.5,16.0012075871042
"1584",2086,0,17,9,24
"1585",2085,0,29.5,17.5,20
"1586",2084,0,24.5,14.5,32
"1587",2083,0,39,23,12
"1588",2082,0,14,8,46
"1589",2081,0,54.5,31.5,40
"1590",2080,0,46,26,50
"1591",2079,0,58.5,33.5,30
"1592",2078,0,33.5,18.5,28
"1593",286,0.145047663055038,30,16,42.0024174610509
"1594",291,0,52,31,36
"1595",305,0.00541429599548037,40,22,44.0000902382666
"1596",330,0.00596683106504729,51.5,29.5,48.0000994471844
"1597",335,0,56,32,46
"1598",292,0.00809160472289205,55,32,28.0001348600787
"1599",299,0,33,19,24
"1600",303,0,25,13,34
"1601",302,0,39,22,20
"1602",301,0,23.5,13.5,42
"1603",300,0,50,29,28
"1604",298,0.000442048835699665,33.5,19.5,14.0000073674806
"1605",297,0,14.5,7.5,36
"1606",296,0,42.5,24.5,22
"1607",295,0,25.5,14.5,50
"1608",294,0,60,35,44
"1609",293,0,54,32,28
"1610",290,0.0116370745920204,34.5,20.5,32.0001939512432
"1611",289,0,37.5,21.5,58
"1612",288,0,67.5,38.5,44
"1613",287,0,54,32,34
"1614",1926,0.0747931164763918,37.5,20.5,36.0012465519413
"1615",1933,0,43,25,42
"1616",1936,0,50,29,40
"1617",1938,0,48,28,52
"1618",1940,0.00203508727186246,62,36,24.0000339181212
"1619",1939,0.100200741315545,25.5,13.5,2.00167001235526
"1620",1955,0.0293617478752021,2.5,1.5,42.0004893624646
"1621",1957,0,51.5,30.5,36
"1622",1956,0,40.5,22.5,46
"1623",1756,0.0920108514540494,55,32,52.0015335141909
"1624",1771,0.00304041778021419,60,34,40.0000506736297
"1625",1769,0.00189680800210567,49.5,29.5,38.0000316134667
"1626",1757,0.00304041778021419,43.5,24.5,26.0000506736297
"1627",1770,0.00385615220959056,28.5,15.5,36.0000642692035
"1628",1758,0.00385615220959056,45,27,46.0000642692035
"1629",1760,0,55.5,32.5,24
"1630",1751,0.00476550800462299,28.5,16.5,34.0000794251334
"1631",1449,0.00270030986352901,39.5,22.5,36.0000450051644
"1632",1457,0,44.5,26.5,24
"1633",1496,0,28,16,40
"1634",1521,0,50,30,12
"1635",1644,0,12.5,6.5,36
"1636",1654,0,44,26,52
"1637",1653,0.000173977629956088,62,36,34.0000028996272
