,total_route,single_distance,single_cargo_weight,single_cargo_volume,total_travel_time
595,1119,0.014990557,40,24,38.00024984
596,1117,0.024100385,43,24,18.00040167
597,1120,0.012245128,18,9,36.00020409
598,1129,0.016420044,42,24,4.000273667
599,1132,0,4,2,38
600,1121,0.071700076,44,25,10.001195
601,1150,0.023191716,10,5,32.00038653
602,1148,0.009867479,37.5,21.5,40.00016446
603,1126,0.10092399,46.5,26.5,24.00168207
604,1128,0.002113498,26,14,20.00003522
605,1133,0.084732135,24.5,14.5,24.0014122
606,1135,0,30,18,12
607,1137,0,15,9,28
608,1153,0.013108366,32,18,40.00021847
609,1156,0,48.5,28.5,8
610,1159,0.001802564,8,4,26.00003004
611,1161,0,32,19,56
612,1142,0.010850392,65,37,38.00018084
613,1147,0,43.5,24.5,22
614,1146,0,25.5,14.5,42
615,1145,0,50.5,29.5,30
616,1144,0,35.5,20.5,46
617,1143,0,55,32,50
618,1151,0.009867479,58,33,26.00016446
619,1155,0.000962901,27.5,14.5,8.000016048
620,1154,0,10,6,10
621,1152,0.000962901,11.5,6.5,8.000016048
622,1138,0.013108366,10,6,12.00021847
623,1131,0.004461018,15,9,16.00007435
624,1130,0,16.5,8.5,40
625,1134,0.002927984,47,27,34.0000488
626,1139,0.004933412,38,21,14.00008222
627,1136,0.002883802,14,7,34.00004806
628,1140,0.002883802,40,23,32.00004806
629,1102,0.043761415,39,23,16.00072936
630,1104,0.000906116,18,10,30.0000151
631,1284,0.233450789,33,18,14.00389085
632,1297,0.001714038,14,7,30.00002857
633,1299,0,36.5,21.5,36
634,1305,0.000688331,43,25,12.00001147
635,1303,0.001287811,14.5,8.5,18.00002146
636,1293,0.001645148,22.5,13.5,32.00002742
637,1287,0.000420781,35.5,19.5,22.00000701
638,1295,0.00068562,25,14,16.00001143
639,1282,0.002655306,18,10,36.00004426
640,1124,0.118394024,40.5,22.5,26.00197323
641,1110,0.038706574,29,16,34.00064511
642,1163,0.050945487,42.5,25.5,36.00084909
643,1167,0.001251857,41.5,23.5,40.00002086
644,1170,0.001386048,49.5,29.5,26.0000231
645,1089,0.103225624,31.5,18.5,42.00172043
646,1091,0,48.5,27.5,50
647,1039,0.103029481,58.5,33.5,14.00171716
648,1092,0.103029481,16,9,38.00171716
649,934,0.285268557,46.5,27.5,54.00475448
650,1006,0.237033234,63,36,22.00395055
651,1009,0.000160448,26,15,22.00000267
652,1007,0.000481343,27,16,48.00000802
653,1010,0.00062668,56.5,32.5,54.00001044
654,1014,0,63.5,36.5,48
655,1013,0.000125336,57,33,40.00000209
656,1012,0,48,28,58
657,1011,0,67.5,38.5,50
658,1015,0.000125336,58,33,30.00000209
659,1019,5.78E-05,36.5,21.5,50.00000096
660,1017,0.000448524,58,33,10.00000748
661,1021,0.000125336,11,6,10.00000209
662,1023,0.00066717,12,7,26.00001112
663,1025,0.000125336,27.5,14.5,32.00000209
664,1027,0.000111195,38,22,48.00000185
665,1026,0.000125336,58,34,44.00000209
666,1024,0.000173503,50,28,18.00000289
667,1028,0.000206076,19.5,10.5,40.00000343
668,1000,0.02696311,50,30,22.00044939
669,1003,0.005357416,25,14,44.00008929
670,1005,0.005274915,51.5,29.5,6.000087915
671,1123,0.120090538,6.5,3.5,32.00200151
672,1283,0.118394024,40,24,42.00197323
673,1105,0.233450789,50,29,10.00389085
674,1107,0.010633895,11.5,6.5,32.00017723
675,1115,0.037138022,36,20,34.00061897
676,1307,0.068733467,39.5,22.5,20.00114556
677,1315,0.000897079,22,12,38.00001495
678,1285,0.004151917,44,25,26.0000692
679,1289,0.000642602,29,16,10.00001071
680,1291,0.000333585,10,5,32.00000556
681,1290,0.001891203,38.5,22.5,4.00003152
682,1292,0.002224654,4,2,32.00003708
683,1317,0.008081103,39.5,23.5,44.00013469
684,1310,0.000412757,51,29,28.00000688
685,1313,0,30.5,16.5,46
686,1309,0.000125391,54,31,50.00000209
687,1314,0.000125391,59,34,42.00000209
688,1322,0.000637493,49.5,28.5,40.00001062
689,1343,0.000803102,50,30,26.00001339
690,1346,0.000111195,28.5,15.5,32.00000185
691,1344,0.000111195,39.5,23.5,28.00000185
692,1348,0.000448539,30,16,30.00000748
693,1351,0.000655759,37.5,22.5,40.00001093
